split,model,median_err_m,mean_err_m,p90_err_m,p10_err_m,max_err_m,nll
A_random,KNN_k1,1.6486674547195437,2.169339656829834,5.252110958099365,0.0,9.72789478302002,
A_random,KNN_k5,1.567710998594297,1.819860998579648,4.06956067833308,3.5005260781434083e-06,6.861922813353488,
A_random,MLP,1.3021173477172852,1.4981921911239624,3.063123083114624,0.1891960591077804,6.5519795417785645,
A_random,MDN,1.2637109756469729,1.5071635246276855,3.385293436050415,0.035558097064495,7.538389682769775,2.190582752227783
A_random,MaskedMLP,1.369611144065857,1.5078469514846802,3.194865655899048,0.1658845692873001,5.338553428649902,
A_random,MaskedMDN,1.3714613914489746,1.540261149406433,3.3561283111572267,0.0573404304683208,6.206705093383789,2.314380407333374
A_random,SetTransformerMDN,1.0926557779312134,1.300196886062622,2.966412973403931,0.0278788231313228,6.507674217224121,1.9866281747817995
B_morning_holdout,KNN_k1,2.434394121170044,2.869783639907837,6.740556144714359,0.1891893744468688,10.55845832824707,
B_morning_holdout,KNN_k5,1.994347835415868,2.3454795610950727,4.736349905915157,0.4197945983844269,9.016147916539245,
B_morning_holdout,MLP,1.5263614654541016,1.9654499292373653,3.9022795200347904,0.4361912548542022,8.180540084838867,
B_morning_holdout,MDN,1.672990798950195,2.0020008087158203,4.311725616455079,0.2842295050621032,8.042745590209961,3.363155126571656
B_morning_holdout,MaskedMLP,1.6612557172775269,1.9731905460357664,4.031291675567628,0.4825782299041748,7.575448036193848,
B_morning_holdout,MaskedMDN,1.7881791591644287,2.0382235050201416,4.0284810066223145,0.2864991545677185,7.391798496246338,3.352948904037476
B_morning_holdout,SetTransformerMDN,1.5357822179794312,1.7926535606384275,4.02559871673584,0.1932654112577438,6.61503267288208,3.077334403991699
C_morning_to_evening,KNN_k1,3.124877452850342,3.636657953262329,6.612038707733154,0.5858563184738159,11.50383186340332,
C_morning_to_evening,KNN_k5,2.7537464241606577,3.015367383821568,5.324575954407938,1.1087167099661968,8.94046517766547,
C_morning_to_evening,MLP,1.8732173442840576,2.095283031463623,3.979127597808838,0.5905553221702576,8.424570083618164,
C_morning_to_evening,MDN,2.3125061988830566,2.4925403594970703,4.583047771453858,0.6188971161842346,7.132322788238525,3.869334936141968
C_morning_to_evening,MaskedMLP,1.8837659358978271,2.112220764160156,3.895146131515504,0.6674405574798584,7.930103302001953,
C_morning_to_evening,MaskedMDN,2.115379810333252,2.3317482471466064,4.264509820938111,0.8176188051700592,7.736095905303955,3.9411275386810303
C_morning_to_evening,SetTransformerMDN,2.32417106628418,2.6174240112304688,5.158397960662842,0.6457626640796661,8.667595863342285,4.25372838973999
D_stratified,KNN_k1,1.8471308946609497,2.319180011749268,5.720258903503419,0.0,10.318367004394531,
D_stratified,KNN_k5,1.6754914790948283,1.95941124674022,4.345493195734407,2.0070599020472007e-06,8.26718981729394,
D_stratified,MLP,1.3889328241348269,1.684533953666687,3.5783472061157227,0.210011637210846,7.892326354980469,
D_stratified,MDN,1.501697659492493,1.7193869352340698,3.5933432579040527,0.0472322270274162,6.791132926940918,2.441622257232666
D_stratified,MaskedMLP,1.5799452066421509,1.727217435836792,3.5352450847625736,0.255606746673584,7.454422473907471,
D_stratified,MaskedMDN,1.5839959383010864,1.7196449041366575,3.686022853851319,0.0447311244904995,6.675893783569336,2.559561014175415
D_stratified,SetTransformerMDN,1.338740348815918,1.5465482473373413,3.457983398437501,0.0350909307599067,6.602199077606201,2.20569396018982
A_random,SetTransformerBig,1.100070834159851,1.328088402748108,3.2024445056915285,0.0122447025030851,7.356946468353271,1.7221404314041138
A_random,SetTransformerBigEnsemble,1.0833061933517456,1.248616099357605,2.6328617572784427,0.0072467306628823,6.329131126403809,1.813441562652588
B_morning_holdout,SetTransformerBig,1.447011947631836,1.7863130569458008,3.664300680160523,0.2047945171594619,6.989598274230957,2.916785717010498
B_morning_holdout,SetTransformerBigEnsemble,1.5640428066253662,1.8007522821426392,3.56672434806824,0.1920975416898727,6.012741088867188,3.1774338722229003
C_morning_to_evening,SetTransformerBig,1.7259881496429443,1.9800206422805784,3.8729531526565553,0.5217179834842682,8.422937393188477,3.6421096324920654
C_morning_to_evening,SetTransformerBigEnsemble,1.851120114326477,2.036126613616944,3.7754436492919927,0.6081947386264801,8.604662895202637,3.916591882705689
D_stratified,SetTransformerBig,0.9773805737495422,1.3848450183868408,3.536995077133179,0.0098975328728556,6.557293891906738,1.897644281387329
D_stratified,SetTransformerBigEnsemble,1.0330443382263184,1.3211941719055176,3.110854196548462,0.0066493615508079,5.896677494049072,1.964329028129577
C_morning_to_evening,SetTransformerBig_PlusSynthetic,1.8109955787658687,2.1568825244903564,4.199204111099244,0.5834226071834565,7.677448272705078,
A_random,SetTransformerBig_RealOnly,1.1186197996139526,1.36030375957489,3.0792134761810304,0.00934963170439,6.701765537261963,
A_random,SetTransformerBig_PlusSyntheticA,0.9064387679100036,1.2667303085327148,3.063909339904785,0.0206912536174058,6.357199668884277,
A_random,SetTransformerEnhanced,0.950348734855652,1.2023673057556152,2.7294799327850345,0.0070446098223328,6.056380271911621,1.6575393676757812
C_morning_to_evening,SetTransformerEnhanced,1.523646593093872,1.770082950592041,3.4159471273422244,0.4507058888673783,9.069682121276855,3.3928158283233643
D_stratified,SetTransformerEnhanced,1.1256996393203735,1.4480942487716677,3.4931272029876714,0.0057918285951018,7.11305046081543,1.7739641666412354
A_random,SetTransformerCombo,0.9648231863975524,1.2986451387405396,3.195580101013185,0.0245556443929672,6.255670547485352,1.7027721405029297
A_random,BestComboSingleBest,0.9272974133491516,1.250134825706482,3.200816679000855,0.0123739844188094,5.982736587524414,
A_random,BestComboEnsemble,0.8885470032691956,1.1692525148391724,2.7504704952240004,0.0168877650052309,5.453431606292725,
A_random,BigEnsembleNoTTA,0.8885470032691956,1.1692525148391724,2.7504704952240004,,,
A_random,BigEnsembleTTA,0.9235216975212096,1.169663429260254,2.647201633453369,,,
A_random,BigCMixupRealOnly,1.0155587196350098,1.252647876739502,2.8145208835601805,0.0106892982497811,7.141411781311035,
A_random,BigCMixupSynth,0.8995564579963684,1.2499898672103882,2.959086322784424,0.0803908228874206,6.862032890319824,
A_random,CMixupComboSingleBest,0.9807812571525574,1.290211200714111,2.9940124511718755,0.0711345389485359,6.169453144073486,
A_random,CMixupComboEnsemble,0.9418610334396362,1.242334246635437,2.9934842109680178,0.082479204237461,5.293766021728516,
A_random,HeatmapBestSingle,0.8384053111076355,1.146211862564087,2.665237236022949,0.076198910176754,5.475457668304443,
A_random,HeatmapEnsemble,0.8832004070281982,1.126717448234558,2.6651891231536875,0.0914637193083763,4.932372570037842,
A_random,CascadeBestSingle,0.798529326915741,1.152073860168457,2.753514575958252,0.0779099121689796,6.792362689971924,
A_random,CascadeEnsembleMean,0.7984452843666077,1.1133886575698853,2.606119394302368,0.1083036169409751,6.33371114730835,
A_random,CascadeEnsembleGeomMedian,0.7931174635887146,1.116786003112793,2.558745765686035,0.1146169245243072,6.6614203453063965,
A_random,HeatmapMapBestSingle,0.8817291259765625,1.1603524684906006,2.701659154891968,0.0773846909403801,4.971924304962158,
A_random,HeatmapMapEnsembleMean,0.905668556690216,1.1485681533813477,2.590212345123291,0.0676931366324424,4.884959697723389,
A_random,HeatmapMapEnsembleGeomMedian,0.9065051674842834,1.1421421766281128,2.575984811782837,0.0638988196849823,5.321682453155518,
A_random,Cascade3BestSingle,0.847129225730896,1.2078889608383179,2.88792085647583,0.07877904176712038,7.300477027893066,
A_random,Cascade3EnsembleMean,0.8397253751754761,1.1212990283966064,2.6684623241424563,0.06833487451076509,6.382512092590332,
A_random,Cascade3EnsembleGeomMedian,0.8000339269638062,1.1145634651184082,2.660536336898804,0.07016173601150513,7.201366901397705,
A_random,Cascade3Top4GeomMedian,0.8025892376899719,1.134981632232666,2.6633642673492433,0.06831666082143784,7.178125381469727,
