bssid,ssid,morning_n,evening_n,morning_mean,evening_mean,delta,ks_stat,ks_p,significant_shift
14:DA:E9:80:B0:34,BMELab,906,894,-63.84,-61.22,2.61,0.205,5.27e-17,True
A0:AD:9F:E4:A0:A8,ASUS_A8,878,887,-63.92,-61.64,2.28,0.214,3.15e-18,True
F0:2F:74:E2:C4:A8,ASUS_A8_2G,907,900,-56.79,-54.54,2.25,0.273,3.69e-30,True
86:9E:56:B9:4C:BC,DIRECT-bc-HP M236 LaserJet,910,892,-59.15,-57.09,2.06,0.256,2.31e-26,True
F4:2E:7F:D4:D4:04,NYCU-Seminar,36,30,-80.08,-82.13,-2.05,0.261,0.18,False
F4:2E:7F:D2:C6:C2,NYCU,33,38,-83.15,-85.11,-1.95,0.341,0.0243,False
F4:54:24:77:77:54,Wiwynn_Lab,73,71,-81.88,-83.77,-1.9,0.363,9.18e-05,True
D8:EC:E5:C9:A9:E3,arai_622,217,201,-90.12,-88.3,1.83,0.343,2.12e-11,True
28:D1:27:13:87:EA,ESP8266,904,900,-64.13,-62.39,1.74,0.189,1.41e-14,True
F4:2E:7F:D2:C6:C1,NYCU-Alumni,35,35,-83.11,-84.8,-1.69,0.314,0.0625,False
DA:E3:E5:C9:A9:E7,ARA_Public_622,224,253,-89.86,-88.22,1.64,0.302,4.23e-10,True
F4:2E:7F:D2:93:A2,NYCU,649,695,-78.56,-80.17,-1.61,0.179,7e-10,True
10:7C:61:DA:BF:A6,AIUVL,694,868,-65.02,-66.5,-1.48,0.175,9.47e-11,True
F4:2E:7F:D2:93:A1,NYCU-Alumni,656,677,-78.68,-80.08,-1.4,0.161,4.65e-08,True
F4:54:24:77:77:55,WiwynnGuest,75,66,-82.33,-83.7,-1.36,0.296,0.00317,True
DA:5F:E5:C9:A6:51,arai_621,134,92,-89.19,-87.88,1.31,0.248,0.00193,True
40:86:CB:DF:DB:C8,LAB335-1,325,488,-84.06,-85.31,-1.25,0.108,0.0187,False
F4:2E:7F:D2:93:A0,eduroam,470,432,-76.43,-77.67,-1.24,0.148,9.45e-05,True
AA:3B:76:CB:18:34,DIRECT-34-HP M283 LaserJet,911,889,-57.55,-58.71,-1.16,0.154,9.49e-10,True
F4:54:24:76:E8:17,Wiwynnwlan-5G,143,349,-80.05,-81.2,-1.15,0.291,4.31e-08,True
F4:54:24:76:E8:14,Wiwynn_Lab,155,341,-79.92,-81.04,-1.12,0.306,2.52e-09,True
F4:54:24:76:E8:16,WYN-Intranet,135,337,-80.05,-81.14,-1.09,0.324,1.96e-09,True
F4:2E:7F:D2:93:A3,NYCU-Guest,500,446,-76.66,-77.67,-1.01,0.13,0.000616,True
F4:54:24:77:77:56,WYN-Intranet,81,76,-82.67,-83.64,-0.98,0.256,0.00894,True
F4:54:24:77:77:57,Wiwynnwlan-5G,95,79,-82.97,-83.89,-0.92,0.212,0.0333,False
F4:54:24:77:67:16,WYN-Intranet,49,263,-81.14,-82.05,-0.91,0.179,0.122,False
74:DA:38:C7:D3:E5,PM2.5_Setup_E4,672,709,-83.67,-84.53,-0.86,0.099,0.00213,True
F4:54:24:76:E8:15,WiwynnGuest,155,331,-80.21,-81.07,-0.86,0.273,1.91e-07,True
F4:2E:7F:D3:10:80,eduroam,877,881,-70.73,-71.54,-0.81,0.112,2.85e-05,True
F4:2E:7F:D2:93:A4,NYCU-Seminar,503,446,-76.86,-77.62,-0.76,0.106,0.00859,True
F4:2E:7F:D4:D4:02,NYCU,79,57,-83.97,-84.72,-0.74,0.117,0.696,False
F4:2E:7F:D3:10:84,NYCU-Seminar,863,862,-70.53,-71.26,-0.73,0.12,7.78e-06,True
F4:2E:7F:D4:D4:01,NYCU-Alumni,79,50,-83.65,-84.32,-0.67,0.099,0.885,False
F4:2E:7F:D3:10:83,NYCU-Guest,860,870,-70.6,-71.26,-0.66,0.115,1.96e-05,True
F4:54:24:77:67:17,Wiwynnwlan-5G,53,281,-81.38,-82.04,-0.66,0.142,0.299,False
F4:2E:7F:D3:10:82,NYCU,877,890,-70.6,-71.25,-0.65,0.101,0.00022,True
F4:54:24:77:67:14,Wiwynn_Lab,53,267,-81.13,-81.78,-0.64,0.171,0.134,False
38:06:E6:2B:01:68,hank,31,274,-89.16,-89.77,-0.61,0.149,0.513,False
F4:2E:7F:D3:10:81,NYCU-Alumni,886,889,-70.69,-71.27,-0.58,0.1,0.000244,True
34:97:F6:A6:80:40,LAB337_EX(2.4G),878,897,-64.65,-65.22,-0.56,0.099,0.000276,True
10:62:EB:C4:48:23,.1.Free Wi-Fi,200,340,-89.78,-89.29,0.49,0.124,0.0374,False
10:27:F5:E0:85:37,LAB334,761,764,-67.32,-66.84,0.48,0.06,0.123,False
F4:54:24:77:67:15,WiwynnGuest,62,270,-81.55,-82.0,-0.46,0.124,0.387,False
7E:4D:8F:4A:BD:D6,DIRECT-D6-HP ,55,99,-87.09,-87.56,-0.46,0.17,0.232,False
DA:5F:E5:C9:A6:52,ARA_Public_621,139,85,-88.87,-88.45,0.42,0.1,0.617,False
10:7C:61:E6:63:74,LAB540,447,577,-83.2,-82.86,0.34,0.176,2.75e-07,True
BC:0F:9A:51:BC:BC,Lab332,142,88,-87.18,-87.39,-0.21,0.093,0.696,False
F4:8C:EB:CC:6C:23,D-Link_DIR-612,755,771,-65.22,-65.02,0.2,0.053,0.227,False
10:62:EB:C4:48:21,CHT Wi-Fi(HiNet),239,315,-89.54,-89.45,0.09,0.056,0.757,False
4E:EB:BD:6F:E7:21,DIRECT-21-HP M148 LaserJet,90,58,-88.49,-88.55,-0.06,0.034,1.0,False
10:C3:7B:C5:F8:00,APL_ASUS,825,854,-75.58,-75.52,0.06,0.054,0.16,False
74:D0:2B:8E:6C:30,BMELabII,875,894,-62.53,-62.56,-0.03,0.096,0.000538,True
