rank,bssid,ssid,samples,coverage_pct,rssi_min,rssi_max,rssi_mean,rssi_std,rssi_range,morning_samples,evening_samples,morning_mean,evening_mean,evening_minus_morning
1,F0:2F:74:E2:C4:A8,ASUS_A8_2G,1807,99.7,-75,-38,-55.7,6.6,37,907,900,-56.79,-54.54,2.25
2,28:D1:27:13:87:EA,ESP8266,1804,99.6,-84,-38,-63.3,7.2,46,904,900,-64.13,-62.39,1.74
3,86:9E:56:B9:4C:BC,DIRECT-bc-HP M236 LaserJet,1802,99.4,-77,-39,-58.1,5.8,38,910,892,-59.15,-57.09,2.06
4,AA:3B:76:CB:18:34,DIRECT-34-HP M283 LaserJet,1800,99.3,-77,-40,-58.1,5.5,37,911,889,-57.55,-58.71,-1.16
5,14:DA:E9:80:B0:34,BMELab,1800,99.3,-88,-45,-62.5,6.8,43,906,894,-63.84,-61.22,2.61
6,34:97:F6:A6:80:40,LAB337_EX(2.4G),1775,98.0,-86,-46,-64.9,6.9,40,878,897,-64.65,-65.22,-0.56
7,F4:2E:7F:D3:10:81,NYCU-Alumni,1775,98.0,-88,-48,-71.0,6.0,40,886,889,-70.69,-71.27,-0.58
8,74:D0:2B:8E:6C:30,BMELabII,1769,97.6,-80,-46,-62.5,6.5,34,875,894,-62.53,-62.56,-0.03
9,F4:2E:7F:D3:10:82,NYCU,1767,97.5,-88,-49,-70.9,6.1,39,877,890,-70.6,-71.25,-0.65
10,A0:AD:9F:E4:A0:A8,ASUS_A8,1765,97.4,-86,-48,-62.8,6.3,38,878,887,-63.92,-61.64,2.28
11,F4:2E:7F:D3:10:80,eduroam,1758,97.0,-87,-49,-71.1,6.0,38,877,881,-70.73,-71.54,-0.81
12,F4:2E:7F:D3:10:83,NYCU-Guest,1730,95.5,-86,-48,-70.9,6.0,38,860,870,-70.6,-71.26,-0.66
13,F4:2E:7F:D3:10:84,NYCU-Seminar,1725,95.2,-86,-48,-70.9,6.0,38,863,862,-70.53,-71.26,-0.73
14,10:C3:7B:C5:F8:00,APL_ASUS,1679,92.7,-91,-60,-75.5,4.7,31,825,854,-75.58,-75.52,0.06
15,10:7C:61:DA:BF:A6,AIUVL,1562,86.2,-81,-43,-65.8,5.9,38,694,868,-65.02,-66.5,-1.48
16,F4:8C:EB:CC:6C:23,D-Link_DIR-612,1526,84.2,-85,-49,-65.1,5.4,36,755,771,-65.22,-65.02,0.2
17,10:27:F5:E0:85:37,LAB334,1525,84.2,-84,-50,-67.1,5.9,34,761,764,-67.32,-66.84,0.48
18,74:DA:38:C7:D3:E5,PM2.5_Setup_E4,1381,76.2,-95,-62,-84.1,5.0,33,672,709,-83.67,-84.53,-0.86
19,F4:2E:7F:D2:93:A2,NYCU,1344,74.2,-90,-56,-79.4,5.9,34,649,695,-78.56,-80.17,-1.61
20,F4:2E:7F:D2:93:A1,NYCU-Alumni,1333,73.6,-90,-56,-79.4,5.8,34,656,677,-78.68,-80.08,-1.4
21,10:7C:61:E6:63:74,LAB540,1024,56.5,-91,-72,-83.0,2.7,19,447,577,-83.2,-82.86,0.34
22,F4:2E:7F:D2:93:A4,NYCU-Seminar,949,52.4,-88,-57,-77.2,5.3,31,503,446,-76.86,-77.62,-0.76
23,F4:2E:7F:D2:93:A3,NYCU-Guest,946,52.2,-87,-56,-77.1,5.3,31,500,446,-76.66,-77.67,-1.01
24,F4:2E:7F:D2:93:A0,eduroam,902,49.8,-87,-56,-77.0,5.2,31,470,432,-76.43,-77.67,-1.24
25,CA:CB:9E:E2:CC:C3,DESKTOP-H3JF136 3382,890,49.1,-85,-50,-70.1,5.8,35,0,890,,-70.06,
26,BE:0F:F3:F6:CA:3E,DIRECT-3E-HP Color LJ 4303,877,48.4,-87,-51,-71.5,6.1,36,877,0,-71.46,,
27,DE:56:7B:CF:80:5D,wayne_ros,871,48.1,-75,-23,-51.6,7.3,52,871,0,-51.64,,
28,40:86:CB:DF:DB:C8,LAB335-1,813,44.9,-94,-60,-84.8,5.1,34,325,488,-84.06,-85.31,-1.25
29,10:62:EB:C4:48:21,CHT Wi-Fi(HiNet),554,30.6,-94,-83,-89.5,1.9,11,239,315,-89.54,-89.45,0.09
30,10:62:EB:C4:48:23,.1.Free Wi-Fi,540,29.8,-95,-83,-89.5,2.0,12,200,340,-89.78,-89.29,0.49
31,F4:54:24:76:E8:14,Wiwynn_Lab,496,27.4,-86,-73,-80.7,2.8,13,155,341,-79.92,-81.04,-1.12
32,F4:54:24:76:E8:17,Wiwynnwlan-5G,492,27.2,-87,-71,-80.9,2.9,16,143,349,-80.05,-81.2,-1.15
33,F4:54:24:76:E8:15,WiwynnGuest,486,26.8,-86,-73,-80.8,2.8,13,155,331,-80.21,-81.07,-0.86
34,DA:E3:E5:C9:A9:E7,ARA_Public_622,477,26.3,-96,-80,-89.0,2.6,16,224,253,-89.86,-88.22,1.64
35,F4:54:24:76:E8:16,WYN-Intranet,472,26.0,-87,-72,-80.8,2.9,15,135,337,-80.05,-81.14,-1.09
36,5E:60:BA:43:7D:C1,DIRECT-c1-HP M141 LaserJet,463,25.6,-91,-67,-82.5,4.9,24,0,463,,-82.52,
37,CC:28:AA:B6:74:50,PAIRLab_AP_5G,448,24.7,-92,-77,-85.1,3.1,15,448,0,-85.15,,
38,D8:EC:E5:C9:A9:E3,arai_622,418,23.1,-95,-81,-89.2,2.7,14,217,201,-90.12,-88.3,1.83
39,F4:54:24:77:67:17,Wiwynnwlan-5G,334,18.4,-88,-74,-81.9,2.2,14,53,281,-81.38,-82.04,-0.66
40,F4:54:24:77:67:15,WiwynnGuest,332,18.3,-87,-74,-81.9,2.1,13,62,270,-81.55,-82.0,-0.46
41,F4:54:24:77:67:14,Wiwynn_Lab,320,17.7,-87,-73,-81.7,2.2,14,53,267,-81.13,-81.78,-0.64
42,F4:54:24:77:67:16,WYN-Intranet,312,17.2,-87,-74,-81.9,2.2,13,49,263,-81.14,-82.05,-0.91
43,38:06:E6:2B:01:68,hank,305,16.8,-94,-81,-89.7,1.8,13,31,274,-89.16,-89.77,-0.61
44,BC:0F:9A:51:BC:BC,Lab332,230,12.7,-94,-76,-87.3,3.6,18,142,88,-87.18,-87.39,-0.21
45,DA:5F:E5:C9:A6:51,arai_621,226,12.5,-94,-81,-88.7,2.6,13,134,92,-89.19,-87.88,1.31
46,DA:5F:E5:C9:A6:52,ARA_Public_621,224,12.4,-94,-76,-88.7,2.7,18,139,85,-88.87,-88.45,0.42
47,F4:54:24:77:77:57,Wiwynnwlan-5G,174,9.6,-87,-76,-83.4,2.0,11,95,79,-82.97,-83.89,-0.92
48,F4:54:24:77:77:56,WYN-Intranet,157,8.7,-89,-76,-83.1,2.0,13,81,76,-82.67,-83.64,-0.98
49,7E:4D:8F:4A:BD:D6,DIRECT-D6-HP ,154,8.5,-92,-84,-87.4,1.5,8,55,99,-87.09,-87.56,-0.46
50,4E:EB:BD:6F:E7:21,DIRECT-21-HP M148 LaserJet,148,8.2,-93,-83,-88.5,2.0,10,90,58,-88.49,-88.55,-0.06
51,F4:54:24:77:77:54,Wiwynn_Lab,144,7.9,-88,-77,-82.8,2.2,11,73,71,-81.88,-83.77,-1.9
52,F4:54:24:77:77:55,WiwynnGuest,141,7.8,-87,-76,-83.0,2.2,11,75,66,-82.33,-83.7,-1.36
53,F4:2E:7F:D4:D4:02,NYCU,136,7.5,-91,-73,-84.3,4.0,18,79,57,-83.97,-84.72,-0.74
54,F4:2E:7F:D4:D4:01,NYCU-Alumni,129,7.1,-92,-73,-83.9,4.1,19,79,50,-83.65,-84.32,-0.67
55,08:BF:B8:67:9F:B0,LAB539,87,4.8,-95,-86,-90.3,1.8,9,61,26,-90.36,-90.15,0.21
56,F4:2E:7F:D2:C6:C2,NYCU,71,3.9,-91,-73,-84.2,3.4,18,33,38,-83.15,-85.11,-1.95
57,F4:2E:7F:D2:C6:C1,NYCU-Alumni,70,3.9,-89,-73,-84.0,3.3,16,35,35,-83.11,-84.8,-1.69
58,1C:5F:2B:25:10:03,.1.Free Wi-Fi,66,3.6,-95,-84,-90.9,2.0,11,42,24,-90.95,-90.92,0.04
59,F4:2E:7F:D4:D4:04,NYCU-Seminar,66,3.6,-88,-72,-81.0,4.0,16,36,30,-80.08,-82.13,-2.05
60,08:BF:B8:7A:DD:08,312,66,3.6,-93,-84,-90.0,1.9,9,17,49,-90.0,-90.06,-0.06
61,1C:5F:2B:25:10:01,CHT Wi-Fi(HiNet),65,3.6,-95,-88,-91.3,1.5,7,40,25,-91.28,-91.4,-0.12
62,F4:2E:7F:D4:D4:03,NYCU-Guest,61,3.4,-86,-73,-80.9,3.7,13,40,21,-80.9,-80.95,-0.05
63,10:62:EB:A5:9D:87,NCTU-VIP,53,2.9,-94,-88,-91.1,1.3,6,3,50,-90.33,-91.18,-0.85
64,F4:2E:7F:D4:D4:00,eduroam,52,2.9,-88,-73,-80.6,3.7,15,35,17,-80.49,-80.88,-0.4
65,5E:60:BA:41:C6:00,DIRECT-00-HP ,52,2.9,-90,-82,-87.0,1.8,8,28,24,-86.86,-87.25,-0.39
66,68:FF:7B:90:57:B2,nctu_gofar,48,2.6,-93,-81,-89.1,2.6,12,24,24,-88.17,-89.96,-1.79
67,38:06:E6:95:5D:E8,YUYUhome,46,2.5,-94,-86,-90.9,1.8,8,33,13,-91.24,-90.15,1.09
68,C2:C2:B9:7E:1E:B3,米小姐,39,2.2,-92,-81,-88.4,2.7,11,0,39,,-88.38,
69,0C:9D:92:48:3C:E8,ISL,35,1.9,-95,-83,-90.0,2.7,12,16,19,-90.25,-89.79,0.46
70,F4:2E:7F:D2:C6:C4,NYCU-Seminar,32,1.8,-88,-73,-81.6,3.5,15,18,14,-81.28,-82.0,-0.72
71,10:62:EB:A5:1C:67,NCTU-VIP,31,1.7,-93,-87,-90.1,1.8,6,4,27,-91.0,-89.96,1.04
72,F4:2E:7F:D2:C6:C0,eduroam,25,1.4,-86,-73,-81.3,3.2,13,13,12,-80.23,-82.42,-2.19
73,F4:2E:7F:D2:C6:C3,NYCU-Guest,25,1.4,-86,-73,-81.0,3.3,13,11,14,-79.64,-82.14,-2.51
74,6C:F3:7F:CD:EB:82,Advantecher,20,1.1,-95,-89,-91.4,1.6,6,11,9,-91.91,-90.78,1.13
75,C4:12:F5:7B:ED:A2,chen516-3,18,1.0,-93,-85,-90.0,2.3,8,15,3,-89.6,-92.0,-2.4
76,08:BF:B8:65:2A:28,LAB538,18,1.0,-93,-88,-90.7,1.5,5,7,11,-90.43,-90.91,-0.48
77,50:26:EF:45:D5:37,KASWIFI,16,0.9,-93,-87,-91.6,1.4,6,16,0,-91.56,,
78,1C:56:8E:87:C9:F0,AirStation_2.4G,13,0.7,-92,-88,-89.4,1.2,4,12,1,-89.17,-92.0,-2.83
79,1E:39:29:C6:26:DC,[LG_AirPurifier]26dc,11,0.6,-96,-87,-91.4,2.3,9,8,3,-91.38,-91.33,0.04
80,1C:56:8E:54:22:17,Rambo,11,0.6,-92,-88,-90.6,1.1,4,6,5,-90.83,-90.4,0.43
81,FC:84:A7:1D:59:5C,KASWIFI,9,0.5,-94,-90,-91.6,1.2,4,0,9,,-91.56,
82,04:D9:F5:DB:57:48,flash,8,0.4,-92,-87,-89.9,1.5,5,0,8,,-89.88,
83,E0:B9:4D:73:F4:28,GPLUSPRO,7,0.4,-95,-85,-90.0,3.5,10,7,0,-90.0,,
84,7C:B5:9B:D0:B1:EC,Churchur,7,0.4,-93,-85,-88.0,2.7,8,7,0,-88.0,,
85,A0:AD:9F:78:DD:E0,FEF0D0FCDF796D29ED9E8B28ED1AB1,7,0.4,-89,-82,-86.6,2.1,7,7,0,-86.57,,
86,04:D9:F5:92:C0:F8,PairLab,5,0.3,-92,-84,-89.0,2.8,8,4,1,-88.75,-90.0,-1.25
87,FC:34:97:70:9E:00,NYYT,5,0.3,-92,-89,-90.8,1.0,3,1,4,-91.0,-90.75,0.25
88,A2:AD:9F:58:DD:E0,GDK,4,0.2,-89,-87,-87.8,0.8,2,4,0,-87.75,,
89,C4:12:F5:0A:8A:C7,Chen516-1,4,0.2,-93,-88,-90.2,1.8,5,0,4,,-90.25,
90,48:EE:0C:67:81:8C,USEC_SY,3,0.2,-90,-89,-89.3,0.5,1,3,0,-89.33,,
91,20:51:F5:4F:06:0E,MUFU_V20S_4f6e,3,0.2,-92,-89,-90.3,1.2,3,3,0,-90.33,,
92,C8:78:7D:E1:7F:9C,427--1,2,0.1,-92,-91,-91.5,0.5,1,2,0,-91.5,,
93,10:7C:61:DD:83:B8,R424,2,0.1,-91,-88,-89.5,1.5,3,2,0,-89.5,,
94,D0:D3:E0:52:A7:04,ASTN.IoT,1,0.1,-92,-92,-92.0,0.0,0,1,0,-92.0,,
95,4A:71:4F:05:E7:10,OPPO Reno13 5G 9F30,1,0.1,-88,-88,-88.0,0.0,0,1,0,-88.0,,
96,FC:EE:E6:52:07:5F,Polaroid-fceee652075f,1,0.1,-86,-86,-86.0,0.0,0,1,0,-86.0,,
97,E0:4F:43:36:4A:B4,Audi HUD,1,0.1,-90,-90,-90.0,0.0,0,1,0,-90.0,,
98,54:C9:DF:24:13:32,LUXGEN-241332,1,0.1,-87,-87,-87.0,0.0,0,1,0,-87.0,,
99,D0:D3:E0:52:A7:05,AS_Guest,1,0.1,-89,-89,-89.0,0.0,0,1,0,-89.0,,
100,50:3D:D1:05:73:A4,Boyubiotech,1,0.1,-90,-90,-90.0,0.0,0,1,0,-90.0,,
101,1C:56:8E:54:0F:BB,13F-7,1,0.1,-92,-92,-92.0,0.0,0,1,0,-92.0,,
102,EE:D3:62:AC:7B:8E,11F-7_5G_MLO,1,0.1,-90,-90,-90.0,0.0,0,1,0,-90.0,,
103,C0:84:7D:4D:D9:5E,AX1_WiFi_d95e,1,0.1,-92,-92,-92.0,0.0,0,1,0,-92.0,,
104,F4:2E:7F:D5:6F:41,NYCU-Alumni,1,0.1,-86,-86,-86.0,0.0,0,1,0,-86.0,,
105,FC:EE:E6:4F:3A:C4,PERNIS-fceee64f3ac4,1,0.1,-89,-89,-89.0,0.0,0,1,0,-89.0,,
106,72:A7:41:AA:D9:CF,13F-E6,1,0.1,-89,-89,-89.0,0.0,0,0,1,,-89.0,
107,72:A7:41:9A:D9:CF,13F-E6_5G,1,0.1,-92,-92,-92.0,0.0,0,0,1,,-92.0,
108,A8:29:48:82:CC:9B,billy7420,1,0.1,-93,-93,-93.0,0.0,0,0,1,,-93.0,
109,10:62:EB:A5:9E:61,NCTU,1,0.1,-92,-92,-92.0,0.0,0,0,1,,-92.0,
110,44:F7:70:E0:F8:FA,KKK,1,0.1,-89,-89,-89.0,0.0,0,0,1,,-89.0,
111,48:5C:2C:30:A8:85,Polaroid-485c2c30a885,1,0.1,-90,-90,-90.0,0.0,0,0,1,,-90.0,
112,22:5F:53:E9:55:0F,Galaxy M124ADC,1,0.1,-94,-94,-94.0,0.0,0,0,1,,-94.0,
113,6C:F3:7F:CD:EB:80,Advantech-Guest,1,0.1,-91,-91,-91.0,0.0,0,0,1,,-91.0,
114,F4:2E:7F:D4:C9:E2,NYCU,1,0.1,-90,-90,-90.0,0.0,0,0,1,,-90.0,
115,10:62:EB:A5:9D:97,NCTU-VIP,1,0.1,-90,-90,-90.0,0.0,0,0,1,,-90.0,
